code prestation;libelle_prestation;type_service;type_vehicule;code type de prestation;code famille de prestation;code agence
DMT02;DEMI JOURNEE T02;T02;fourgon;TD;EXPRESS;1DAY44
DMT03;DEMI JOURNEE T03;T03;fourgon;TD;EXPRESS;1DAY44
DMT04;DEMI JOURNEE T04;T04;fourgon;TD;EXPRESS;1DAY44
DMT05;DEMI JOURNEE T05;T05;fourgon;TD;EXPRESS;1DAY44
DMT06;DEMI JOURNEE T06H;T06H;fourgon;TD;EXPRESS;1DAY35
DMT07;DEMI JOURNEE T07;T07;plateau;TD;EXPRESS;1DAY35
DMT10;DEMI JOURNEE T10;T10;plateau;E;EXPRESS;T1DAY44
CONTA;PORTE CONTAINERS;SERVICE;sous_traitance;TPS;MAD;1DAY44
DMT08;DEMI JOURNEE T08;T08;bache;TD;MAD;T1DAY44
DMT09;DEMI JOURNEE T09;T09;bache;TD;MAD;T1DAY44
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
